Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,538.90,541.00,522.05,524.65,529.300952194612926367,30666,890,16231543.00,10097,32.93,18.95,-14.25
27-April-2018,543.80,557.00,533.25,536.05,544.860979779644560766,94756,2763,51628847.00,22829,24.09,23.75,-7.75
26-April-2018,536.00,551.90,524.95,547.15,544.031255842213497850,256752,5021,139681113.00,33348,12.99,26.95,11.15
25-April-2018,533.00,551.75,523.65,530.30,537.035564532624258539,117336,3434,63013605.00,25867,22.05,28.10,-2.70
24-April-2018,532.80,542.90,522.00,530.10,532.014914300332565873,117270,3557,62389389.00,21435,18.28,20.90,-2.70
23-April-2018,496.05,547.75,493.75,527.35,525.135714000341409731,275329,7973,144585091.00,45637,16.58,54.00,31.30
20-April-2018,492.85,498.00,485.00,493.20,491.511724454800544789,60941,1698,29953216.00,14436,23.69,13.00,0.35
19-April-2018,492.30,503.00,480.70,487.00,489.922689011422822723,78527,2358,38472159.00,13887,17.68,22.30,-5.30
18-April-2018,504.20,511.85,481.00,485.40,495.165607691310227293,53983,1852,26730525.00,17267,31.99,30.85,-18.80
17-April-2018,513.90,522.00,501.60,504.05,510.235369363607291333,100064,2945,51056192.00,18814,18.80,20.40,-9.85
16-April-2018,481.00,522.50,476.95,508.85,507.503193072376307196,193544,6399,98224198.00,32946,17.02,45.55,27.85
13-April-2018,481.00,512.55,479.00,490.55,498.041882806005955449,190078,6159,94666805.00,27934,14.70,33.55,9.55
12-April-2018,505.00,517.00,474.40,480.00,491.948692211120689156,345698,9871,170065679.00,66939,19.36,42.60,-25.00
11-April-2018,407.60,486.95,400.60,486.95,460.969932796926313368,295671,8448,136295441.00,57002,19.28,86.35,79.35
10-April-2018,418.00,418.00,402.60,405.80,408.783463370148951261,9869,286,4034284.00,5024,50.91,15.40,-12.20
9-April-2018,419.00,423.65,409.90,411.30,415.335920129049134586,22937,1191,9526560.00,10232,44.61,13.75,-7.70
6-April-2018,421.60,432.80,399.00,411.85,417.810695132013201320,77568,2388,32408740.00,24009,30.95,33.80,-9.75
5-April-2018,401.00,410.00,399.80,410.00,408.752733659420974108,52951,585,21643866.00,20931,39.53,10.20,9.00
4-April-2018,382.00,392.20,377.00,390.50,390.092864475160543340,83778,1039,32681200.00,14867,17.75,15.20,8.50
3-April-2018,365.00,373.55,359.05,373.55,369.318718823838277763,19045,370,7033675.00,8179,42.95,14.50,8.55
2-April-2018,341.70,355.80,341.10,355.80,353.215758754863813229,5140,203,1815529.00,3684,71.67,14.70,14.10
28-March-2018,346.15,346.85,335.20,338.90,341.064820102798400913,7004,180,2388818.00,3989,56.95,11.65,-7.25
27-March-2018,358.00,358.70,342.00,346.10,353.192414924149241492,24390,1146,8614363.00,5585,22.90,16.70,-11.90
26-March-2018,336.50,348.00,331.05,341.65,340.211357728454309138,15003,307,5104191.00,8078,53.84,16.95,5.15
23-March-2018,357.95,357.95,340.10,340.35,343.776457191658956657,14051,457,4830403.00,8773,62.44,17.85,-17.60
22-March-2018,365.00,375.60,356.00,357.95,365.065531602155805977,16328,392,5960790.00,10174,62.31,19.60,-7.05
21-March-2018,360.00,374.00,360.00,365.35,368.778491450394930995,23042,506,8497394.00,9799,42.53,14.00,5.35
20-March-2018,360.00,361.45,353.60,356.20,358.554940322382182847,8127,204,2913976.00,6150,75.67,7.85,-3.80
19-March-2018,370.65,374.80,355.00,361.00,361.304311008468052347,12990,258,4693343.00,9591,73.83,19.80,-9.65
16-March-2018,384.70,387.00,367.00,369.05,377.215014279885760913,12255,388,4622770.00,6717,54.81,20.00,-15.65
15-March-2018,380.85,388.00,374.10,378.35,380.353233830845771144,10050,314,3822550.00,3605,35.87,13.90,-2.50
14-March-2018,380.00,389.80,370.90,378.85,380.080841410600123736,9698,311,3686024.00,3451,35.58,18.90,-1.15
13-March-2018,366.10,381.15,362.55,380.00,378.607722762353412849,39908,502,15109477.00,8091,20.27,18.60,13.90
12-March-2018,367.50,370.95,360.00,363.00,363.040330188679245283,4240,138,1539291.00,1794,42.31,10.95,-4.50
9-March-2018,372.20,377.70,359.55,361.25,367.137582005623242736,5335,146,1958679.00,3317,62.17,18.15,-10.95
8-March-2018,365.00,375.50,353.60,369.75,365.880482734141270726,19721,456,7215529.00,7288,36.96,21.90,4.75
7-March-2018,375.00,375.00,355.90,358.00,361.062506000960153624,10415,337,3760466.00,6977,66.99,19.10,-17.00
6-March-2018,387.00,388.85,372.05,374.60,380.940394736842105263,7600,244,2895147.00,4291,56.46,16.80,-12.40
5-March-2018,387.00,397.00,376.00,384.35,384.269778087371877798,10049,327,3861527.00,3189,31.73,21.00,-2.65
1-March-2018,398.10,400.00,385.00,386.25,392.302387740555951532,5612,165,2201601.00,3055,54.44,15.00,-11.85
28-February-2018,400.75,400.75,391.00,393.25,394.654092891968180651,3897,108,1537967.00,2475,63.51,9.75,-7.50
27-February-2018,400.00,413.70,395.00,400.75,403.916586433260393873,11425,306,4614747.00,5050,44.20,18.70,0.75
26-February-2018,415.00,415.00,395.25,398.45,403.464855912553825770,15095,472,6090302.00,8073,53.48,19.75,-16.55
23-February-2018,387.50,406.40,385.90,406.40,404.127063392980995977,36045,491,14566760.00,11665,32.36,20.50,18.90
22-February-2018,388.30,394.00,382.60,387.05,388.522016492920491675,6427,194,2497031.00,2552,39.71,11.40,-1.25
21-February-2018,387.40,402.85,385.20,387.45,391.661192882249560632,18208,599,7131367.00,5607,30.79,17.65,0.05
20-February-2018,391.00,394.00,381.10,383.70,387.441274900398406374,6275,211,2431194.00,2647,42.18,12.90,-7.30
19-February-2018,399.00,399.95,381.00,386.40,388.984813157728905413,15869,343,6172800.00,8179,51.54,18.95,-12.60
16-February-2018,410.00,421.85,390.00,391.75,400.802676233879569475,20626,543,8266956.00,8659,41.98,31.85,-18.25
15-February-2018,437.00,437.00,408.35,408.35,417.915473032714412024,33930,770,14179872.00,16021,47.22,28.65,-28.65
14-February-2018,429.80,429.80,420.20,429.80,428.476544223271085573,48730,656,20879662.00,17390,35.69,9.60,0.00
12-February-2018,409.35,409.35,409.35,409.35,409.350000000000000000,3240,84,1326294.00,3236,99.88,0.00,0.00
9-February-2018,369.90,389.90,355.95,389.90,385.850696943917282900,30562,508,11792369.00,13648,44.66,33.95,20.00
8-February-2018,353.70,371.35,350.50,371.35,369.708082848018034942,42584,425,15743649.00,7610,17.87,20.85,17.65
7-February-2018,336.00,353.70,336.00,353.70,353.236506378802747791,4076,152,1439792.00,3856,94.60,17.70,17.70
6-February-2018,336.90,348.90,336.90,336.90,336.939574400508178497,12594,155,4243417.00,12594,100.00,12.00,0.00
5-February-2018,370.05,370.05,351.65,354.60,354.148481215027977617,10008,322,3544318.00,10008,100.00,18.40,-15.45
2-February-2018,390.00,392.70,370.15,370.15,373.144004430905566325,7222,252,2694846.00,7222,100.00,22.55,-19.85
1-February-2018,388.00,399.80,381.10,389.60,388.652738764044943820,2848,98,1106883.00,2848,100.00,18.70,1.60
31-January-2018,390.00,395.95,385.00,390.15,388.155703844931680965,3147,111,1221526.00,3147,100.00,10.95,0.15
30-January-2018,392.10,411.00,389.00,392.10,392.917841182536954279,5818,205,2285996.00,5818,100.00,22.00,0.00
29-January-2018,401.00,417.75,395.15,398.65,400.942729875914731148,3143,111,1260163.00,3143,100.00,22.60,-2.35
25-January-2018,418.45,418.45,400.00,404.55,405.604477611940298507,2546,108,1032669.00,2546,100.00,18.45,-13.90
24-January-2018,421.45,421.45,406.00,408.45,411.418604651162790697,6450,175,2653650.00,6450,100.00,15.45,-13.00
23-January-2018,422.80,423.00,404.00,415.50,418.895246677179544942,8878,236,3718952.00,8878,100.00,19.00,-7.30
22-January-2018,400.00,411.90,394.00,402.90,402.653725850965961361,5435,159,2188423.00,5435,100.00,17.90,2.90
19-January-2018,392.75,411.00,392.75,400.40,399.619511389897655992,6058,183,2420895.00,6058,100.00,18.25,7.65
18-January-2018,423.90,442.00,403.00,404.85,417.409785230274491788,8707,220,3634387.00,8707,100.00,39.00,-19.05
17-January-2018,417.10,428.00,401.10,423.70,412.468468468468468468,10323,192,4257912.00,10323,100.00,26.90,6.60
16-January-2018,442.95,442.95,420.95,421.50,427.993821926105390672,8255,217,3533089.00,8255,100.00,22.00,-21.45
15-January-2018,430.00,450.00,430.00,443.10,437.461578868377607684,13326,312,5829613.00,13326,100.00,20.00,13.10
12-January-2018,430.00,434.95,420.00,430.05,428.529378531073446327,8850,238,3792485.00,8850,100.00,14.95,0.05
11-January-2018,448.00,454.20,417.00,429.40,427.123809523809523809,9555,237,4081168.00,9555,100.00,37.20,-18.60
10-January-2018,454.00,463.00,435.00,438.90,448.318762301460154712,21847,553,9794420.00,21847,100.00,28.00,-15.10
9-January-2018,438.90,441.40,425.00,441.40,437.801550387596899224,28380,533,12424808.00,28380,100.00,16.40,2.50
8-January-2018,403.85,420.40,395.10,420.40,412.399771679844404042,23651,332,9753667.00,23651,100.00,25.30,16.55
5-January-2018,405.00,405.00,395.00,400.40,399.200719147296776679,7787,157,3108576.00,7787,100.00,10.00,-4.60
4-January-2018,404.95,405.00,395.00,400.25,399.504109164211505659,6449,182,2576402.00,6449,100.00,10.00,-4.70
3-January-2018,399.80,401.00,385.00,397.40,397.696600860917322250,6737,168,2679282.00,6737,100.00,16.00,-2.40
2-January-2018,395.00,400.00,390.00,395.60,393.355979244599975865,8287,142,3259741.00,8287,100.00,10.00,0.60
1-January-2018,393.10,405.00,391.00,396.85,398.386033321517192484,5642,183,2247694.00,5642,100.00,14.00,3.75
29-December-2017,405.90,410.00,393.00,395.15,399.532123847364869930,13339,268,5329359.00,13339,100.00,17.00,-10.75
28-December-2017,390.05,399.80,387.50,394.45,391.849507910801046468,8027,187,3145376.00,8027,100.00,12.30,4.40
27-December-2017,390.00,398.00,388.15,392.00,391.280907668231611893,8946,168,3500399.00,8946,100.00,9.85,2.00
26-December-2017,391.00,399.90,388.15,393.85,391.804260450160771704,4976,188,1949618.00,4976,100.00,11.75,2.85
22-December-2017,392.00,397.95,388.10,395.05,394.925396092908783264,6501,155,2567410.00,6501,100.00,9.85,3.05
21-December-2017,390.10,398.95,390.10,395.85,394.421193735007760688,7087,166,2795263.00,7087,100.00,8.85,5.75
20-December-2017,388.05,399.90,388.05,392.20,394.681101253344599352,14202,276,5605261.00,14202,100.00,11.85,4.15
19-December-2017,396.35,402.50,385.40,396.60,394.496344386129903224,32963,242,13003783.00,32963,100.00,17.10,0.25
18-December-2017,394.00,405.20,375.00,396.55,396.911141237367512940,8114,216,3220537.00,8114,100.00,30.20,2.55
15-December-2017,390.00,405.00,390.00,393.50,394.861289106671692423,13265,214,5237835.00,13265,100.00,15.00,3.50
14-December-2017,396.30,404.85,382.00,393.90,391.714308151405685566,6367,227,2494045.00,6367,100.00,22.85,-2.40
13-December-2017,398.00,408.90,394.90,396.20,400.668204339654877840,5853,201,2345111.00,5853,100.00,14.00,-1.80
12-December-2017,410.00,413.00,400.00,402.25,406.279776505859907331,7338,188,2981281.00,7338,100.00,13.00,-7.75
11-December-2017,419.50,423.00,405.00,408.30,410.634164222873900293,8184,249,3360630.00,8184,100.00,18.00,-11.20
8-December-2017,423.60,423.60,415.00,419.50,420.742379252020296936,26605,627,11193851.00,26605,100.00,8.60,-4.10
7-December-2017,397.00,403.45,393.25,403.45,401.391229224946519664,12154,206,4878509.00,12154,100.00,10.20,6.45
6-December-2017,398.75,404.55,381.00,384.25,389.092354177614293221,7612,294,2961771.00,7612,100.00,23.55,-14.50
5-December-2017,403.00,422.65,385.00,398.75,400.081411558529493766,50214,311,20089688.00,50214,100.00,37.65,-4.25
4-December-2017,407.00,419.00,400.00,402.55,403.875814438363304665,7674,269,3099343.00,7674,100.00,19.00,-4.45
1-December-2017,407.00,424.00,401.10,406.85,412.204641350210970464,7110,255,2930775.00,7110,100.00,22.90,-0.15
30-November-2017,409.00,417.90,401.10,411.30,411.047312596829936837,8391,193,3449098.00,8391,100.00,16.80,2.30
29-November-2017,426.00,426.00,414.00,414.95,416.886770382500877295,8549,243,3563965.00,8549,100.00,12.00,-11.05
28-November-2017,414.00,425.00,414.00,422.10,421.084569732937685459,6740,223,2838110.00,6740,100.00,11.00,8.10
27-November-2017,430.00,430.00,413.00,417.00,418.591694833413809753,10355,269,4334517.00,10355,100.00,17.00,-13.00
24-November-2017,425.00,437.00,422.00,425.55,427.164534150297350874,5549,221,2370336.00,5549,100.00,15.00,0.55
23-November-2017,435.00,435.00,423.50,430.65,429.416958900266517043,14258,308,6122627.00,14258,100.00,11.50,-4.35
22-November-2017,420.85,441.30,413.00,437.80,437.241956269599209588,46558,516,20357111.00,46558,100.00,28.30,16.95
21-November-2017,440.20,440.20,414.00,420.30,423.863838444729108582,13271,422,5625097.00,13271,100.00,26.20,-19.90
20-November-2017,451.00,451.00,428.00,431.45,431.999650716032134125,14315,360,6184075.00,14315,100.00,23.00,-19.55
17-November-2017,449.00,458.70,438.00,440.95,448.712024015132823422,24318,722,10911779.00,24318,100.00,20.70,-8.05
16-November-2017,396.20,437.85,396.20,437.85,414.497029210689869484,40225,813,16673143.00,40225,100.00,41.65,41.65
15-November-2017,425.00,425.00,417.00,417.00,417.724092697857455181,6861,184,2866005.00,6861,100.00,8.00,-8.00
14-November-2017,463.00,463.00,438.90,438.90,443.205305821665438467,13570,395,6014296.00,13570,100.00,24.10,-24.10
13-November-2017,474.90,483.95,456.95,462.00,470.412778323510150622,97728,2528,45972500.00,17988,18.41,27.00,-12.90
10-November-2017,488.50,494.85,465.00,471.75,478.476865595828018647,177182,4074,84777488.00,30402,17.16,29.85,-16.75
9-November-2017,485.00,502.20,473.65,492.70,489.481662787363029458,149941,4022,73393370.00,27928,18.63,28.55,7.70
8-November-2017,450.75,490.00,448.00,475.25,474.587060886995740415,199550,4755,94703848.00,39077,19.58,42.00,24.50
7-November-2017,477.00,477.00,440.85,445.50,455.651913042000237961,117666,2855,53614738.00,25610,21.76,36.15,-31.50
6-November-2017,460.00,489.90,454.00,471.00,478.837664059671838562,475132,8208,227511097.00,68319,14.38,35.90,11.00
3-November-2017,401.00,445.40,401.00,445.40,432.255068793651305708,123994,2548,53597035.00,48875,39.42,44.40,44.40
2-November-2017,408.90,417.00,403.30,404.95,409.477647714604236343,35880,811,14692058.00,7008,19.53,13.70,-3.95
1-November-2017,417.10,422.00,405.50,407.95,413.079274381449018084,36052,697,14892334.00,12046,33.41,16.50,-9.15
31-October-2017,407.00,423.70,407.00,416.90,417.567274519467718087,58841,1294,24570076.00,10474,17.80,16.70,9.90
30-October-2017,413.00,423.10,406.75,411.60,415.590150433732293839,36428,950,15139118.00,10632,29.19,16.35,-1.40
27-October-2017,415.00,427.30,408.10,411.05,417.291957169993526683,94233,2174,39322673.00,17487,18.56,19.20,-3.95
26-October-2017,399.00,425.20,382.00,407.90,406.872214663449196488,155816,3772,63397201.00,28012,17.98,43.20,8.90
25-October-2017,427.30,427.85,400.00,404.20,410.532536368464350053,96031,2102,39423850.00,23853,24.84,27.85,-23.10
24-October-2017,424.00,437.80,413.90,416.90,424.120850213079391803,76028,1546,32245060.00,21600,28.41,23.90,-7.10
23-October-2017,435.45,443.00,420.00,423.70,429.503565507687416255,88066,2122,37824661.00,21062,23.92,23.00,-11.75
19-October-2017,448.70,448.80,431.45,435.15,438.882072662298987492,38617,785,16948309.00,14840,38.43,17.35,-13.55
18-October-2017,421.05,457.90,411.00,444.40,442.941470774649862300,178287,4268,78970706.00,31612,17.73,46.90,23.35
17-October-2017,444.80,444.80,414.00,420.65,427.559406084157410898,103449,2611,44230593.00,27826,26.90,30.80,-24.15
16-October-2017,452.95,455.00,435.60,438.05,444.112771322452039390,117388,3311,52133510.00,21594,18.40,19.40,-14.90
13-October-2017,453.00,466.00,442.20,446.80,452.430521161114938462,214828,5803,97194744.00,28787,13.40,23.80,-6.20
12-October-2017,411.15,468.00,403.25,452.05,441.164843420673871718,1122083,24267,495023571.00,91098,8.12,64.75,40.90
11-October-2017,531.00,544.60,445.60,445.60,503.976233395268864915,252413,3403,127210153.00,72743,28.82,99.00,-85.40
10-October-2017,457.00,495.10,457.00,495.10,489.546597163942112583,253803,3341,124248395.00,37725,14.86,38.10,38.10
9-October-2017,375.00,412.60,369.75,412.60,401.474382617313687485,318846,5808,128008501.00,40421,12.68,42.85,37.60
6-October-2017,324.90,343.85,324.40,343.85,339.287173386101432912,247119,3675,83844307.00,48296,19.54,19.45,18.95
5-October-2017,283.00,312.60,283.00,312.60,304.362327376431748787,193557,3483,58911459.00,46202,23.87,29.60,29.60
4-October-2017,285.00,293.10,280.15,284.20,286.514201090580989368,50982,1490,14607067.00,10787,21.16,12.95,-0.80
3-October-2017,292.00,295.75,285.00,286.60,289.800427046263345195,49175,1494,14250936.00,15627,31.78,10.75,-5.40
29-September-2017,290.00,302.00,288.00,289.40,294.577302168403266685,102979,3356,30335276.00,17690,17.18,14.00,-0.60
28-September-2017,287.00,297.00,285.00,288.30,290.331419670112935442,79603,2564,23111252.00,14391,18.08,12.00,1.30
27-September-2017,294.25,299.00,283.70,285.65,291.816861239675130510,101333,3118,29570678.00,21128,20.85,15.30,-8.60
26-September-2017,285.00,301.00,281.95,290.80,292.215465547317924116,146752,4221,42883204.00,23886,16.28,19.05,5.80
25-September-2017,300.00,304.00,269.00,283.15,283.213298438749940400,188759,4846,53459059.00,28632,15.17,35.00,-16.85
22-September-2017,295.80,312.00,292.55,297.30,302.408391310988849721,333893,8329,100972045.00,51583,15.45,19.45,1.50
21-September-2017,278.00,302.95,269.50,294.40,293.414128821121874000,365763,8005,107320032.00,55225,15.10,33.45,16.40
20-September-2017,287.00,289.40,272.95,276.10,279.441115720511313717,171871,4409,48027824.00,33420,19.44,16.45,-10.90
19-September-2017,279.00,292.25,272.95,280.95,284.540141340941930657,545348,11352,155173397.00,100441,18.42,19.30,1.95
18-September-2017,226.00,265.70,226.00,265.70,252.210123398203396689,686963,12107,173259023.00,116360,16.94,39.70,39.70
15-September-2017,186.20,224.45,185.05,221.45,212.370114813998691034,304057,5313,64572620.00,68281,22.46,39.40,35.25
14-September-2017,188.15,191.00,187.15,187.90,188.783545895455361954,5567,137,1050958.00,2702,48.54,3.85,-0.25
13-September-2017,187.75,194.80,186.75,187.70,190.812328923357664233,17536,494,3346085.00,7677,43.78,8.05,-0.05
12-September-2017,187.15,191.90,186.20,186.80,188.312198203890067241,22159,574,4172810.00,5879,26.53,5.70,-0.35
11-September-2017,187.00,189.00,185.85,186.85,187.470517327975891511,9955,266,1866269.00,3738,37.55,3.15,-0.15
8-September-2017,184.85,190.10,183.05,185.70,186.856578335657833565,21510,462,4019285.00,4359,20.26,7.05,0.85
7-September-2017,187.15,189.25,183.30,184.55,185.965260110536011930,11399,252,2119818.00,4758,41.74,5.95,-2.60
